Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	DESCRIPTION	max_length
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Black.png	162743	df903e5e86a6dc84a92d9722f3081cb573c46fecce6308f9b6691fb68ad94d9e					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Brown.png	217234	2f8d504dee83243d44fc797eeb623ab138542ed0d6a0e214323fa9a4b03e032d					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Green.png	208450	e156a4cbd966ec276a9898f7385cfa325a5a4820562a97c2932786f72683fee9					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_M05.png	229453	03d9d806ac93e0f82232380a1ad0a1eb72803ce542b1c364ffd8936d3910b79b					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Black_AL.png	1271515	46a25cec005c89e42a18d9d30e9d1d9c6e389487d3973bf7d08046d3fd3b3f21					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Brown_AL.png	1636458	eac8dde9dd869931e72a1a6dd5a7614b5a266bbd9c7b5ce607c5898cc69ff46d					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Green_AL.png	1534285	2771cc816ef63c10313a498f764b39b316b61bb5172f2d767a1db3ac4bdd2395					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_M05_AL.png	1607695	4141bbf50fc32de774684602985946de83ea6812f39c19ab33411bec5611d35b					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Nomad\Files	Icon_Backpack_Nomad.png	146271	bab56d7fd1e3c57cfb107053907813ececa1df815ac2362e4ed1253d0be00ed7					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Nomad\Files	TX_Backpack_Nomad_AL.png	1357876	39b15115158f8b57e08ef5632d2bfea877afe0f1c30291ed2d8569350c290c6e					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Patrol\Files	Icon_Backpack_Patrol.png	131498	2626e32e2ccbdd8624bbf0c5f7ee878e93af04a40cebecdc4da9afe10265d8bc					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Patrol\Files	TX_Backpack_Patrol_AL.png	732346	f9a950a945db197e3e210c26afa3e780bdd6a1f8219fce84500199077395e4ec					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Duffel_Retro\Files	Icon_Duffel_Retro.png	100182	00a977ae7ffe941132dba520c6027a734673ee2b243bf479ff9b23ba2eb9e7ab					Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Duffel_Retro\Files	TX_Duffel_Retro_AL.png	1474412	46643ab38d8f43a3de32c706ac982f07b14f624368a7f9fd875bb6ff4583869b					Reason for ignoring: Low resolution	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Black.png	23198	8fa08d9a1d418e6d6a9b2acd540efefef0383d0233790153f9ddccec4c63cb11					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Brown.png	27964	874c4a1c8a8a946b83ebd6a5e4f7227c58e950e60c5813b22f1f7bf7c719e640					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Green.png	26802	7d9d4a1e67346098852fc7cc46a1f5d499749e303cbe900b5e723794b354167e					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_M05.png	30482	e3476875f16c97bb6a24fceab012f336ffb0f7a4f1b26c8213b0e0287471d988					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Black_AL.png	1485203	cacd86200284cbc5a849f0ce9a2f9b198be0cfce9c3b90dcbc6c450d79f71928					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Brown_AL.png	1855219	fd58455fbac8c91e4dd4cad821485a9f8b6f1737c6c80294221a9a69956fc981					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Green_AL.png	1791342	1aaa2b4d9ff84a5dd7f6908e77985c8a07a25dd792081cadb17e245a9a216843					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_M05_AL.png	1808474	ee54a9556caa234927b6d4579932a999a1bf0d467a7b2e95d3366e019371f7f2					Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Children.png	21284	4f706a0befd07718dde14ca6daca70a652d17e650fd4dad5885668c0efdc4499						
Items	Misc	Books	pending	"KOTIRUOKA

KEITTOKIRJA KOTIA
JA KOILUA VARTEN"	"HÁZI ÉTELEK

FŐZŐKÖNYV AZ OTTHONNAK
ÉS A KÖZÖSSÉGNEK"	\Items\Books\Files	Icon_Book_Cooking.png	25182	e3ebb90d8cca51e2fb153ff0620ed5064a5f249c0a3fced449872eb7805ea495	3077					
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Fishing.png	21816	157f2260d382893174b0136a8f508575b33e8274b4d4836823dd85eeb4520969						
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Religion.png	20045	a3e89c5d402f8f2a0f4e2f1a6b33c952cebcf32b63e1b44b4d05474b5f5173dd						
Items	Misc	Books	ignore			\Items\Books\Files	TX_Book_Children_AL.png	317154	18ec1f5cf84cfb339d5c1a3ead0b569d58e489b9de8ee63acc71c5b97674a82d						
