Where	Sub	Type	method	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
			pending			\Modular\Decals\Files	TX_Decal_ADHD.png					
			pending			\Modular\Decals\Files	TX_Decal_AK.png					
			pending			\Modular\Decals\Files	TX_Decal_Area_05.png					
			pending			\Modular\Decals\Files	TX_Decal_Besa.png					
			pending			\Modular\Decals\Files	TX_Decal_Blood_Floor_AL.png					
			pending			\Modular\Decals\Files	TX_Decal_Blood_Floor_ORM.png					
			pending			\Modular\Decals\Files	TX_Decal_Body_L.png					
			pending			\Modular\Decals\Files	TX_Decal_Body_R.png					
			pending			\Modular\Decals\Files	TX_Decal_Caveman.png					
			pending			\Modular\Decals\Files	TX_Decal_Desa.png					
			pending			\Modular\Decals\Files	TX_Decal_Eyes.png					
			pending			\Modular\Decals\Files	TX_Decal_Face.png					
			pending			\Modular\Decals\Files	TX_Decal_Fae.png					
			pending			\Modular\Decals\Files	TX_Decal_Happiness.png					
			pending			\Modular\Decals\Files	TX_Decal_Hearts.png					
			pending			\Modular\Decals\Files	TX_Decal_Highway.png					
			pending			\Modular\Decals\Files	TX_Decal_Just.png					
			pending			\Modular\Decals\Files	TX_Decal_Kid.png					
			pending			\Modular\Decals\Files	TX_Decal_Korsu_17.png					
			pending			\Modular\Decals\Files	TX_Decal_Labor.png					
			pending			\Modular\Decals\Files	TX_Decal_Leak.png					
			pending			\Modular\Decals\Files	TX_Decal_MF.png					
			pending			\Modular\Decals\Files	TX_Decal_Mama.png					
			pending			\Modular\Decals\Files	TX_Decal_Menossa.png					
			pending			\Modular\Decals\Files	TX_Decal_Merk.png					
			pending			\Modular\Decals\Files	TX_Decal_Mold.png					
			pending			\Modular\Decals\Files	TX_Decal_Mos.png					
			pending			\Modular\Decals\Files	TX_Decal_Mouses.png					
			pending			\Modular\Decals\Files	TX_Decal_NPC.png					
			pending			\Modular\Decals\Files	TX_Decal_Night.png					
			pending			\Modular\Decals\Files	TX_Decal_Nokua.png					
			pending			\Modular\Decals\Files	TX_Decal_Ob.png					
			pending			\Modular\Decals\Files	TX_Decal_Ode.png					
			pending			\Modular\Decals\Files	TX_Decal_Oxy.png					
			pending			\Modular\Decals\Files	TX_Decal_Parents.png					
			pending			\Modular\Decals\Files	TX_Decal_People.png					
			pending			\Modular\Decals\Files	TX_Decal_Road_A.png					
			pending			\Modular\Decals\Files	TX_Decal_Road_B.png					
			pending			\Modular\Decals\Files	TX_Decal_Road_C.png					
			pending			\Modular\Decals\Files	TX_Decal_School_A.png					
			pending			\Modular\Decals\Files	TX_Decal_School_B.png					
			pending			\Modular\Decals\Files	TX_Decal_School_C.png					
			pending			\Modular\Decals\Files	TX_Decal_School_D.png					
			pending			\Modular\Decals\Files	TX_Decal_Smiley_A.png					
			pending			\Modular\Decals\Files	TX_Decal_Smiley_B.png					
			pending			\Modular\Decals\Files	TX_Decal_Snok.png					
			pending			\Modular\Decals\Files	TX_Decal_Spuge.png					
			pending			\Modular\Decals\Files	TX_Decal_Stain.png					
			pending			\Modular\Decals\Files	TX_Decal_Stop_01.png					
			pending			\Modular\Decals\Files	TX_Decal_Stop_02.png					
			pending			\Modular\Decals\Files	TX_Decal_Vena.png					
			pending			\Modular\Decals\Files	TX_Decal_Zap.png					
			pending			\Modular\Decals\Files	TX_Decal_Zora.png					
			pending			\Modular\Decals\Files	TX_Decal_Överi.png					
			pending	"HAMINA

Valtter.

NAKKIPILO HONOR
MOVET MÄÄRÄÄ

Fuck Ville
LOVE

Ylil

TJviTU sti"		\Assets\Chalkboard\Files	TX_Chalkboard_B_AL.png					
			ignore			\Assets\Container_Shipping\Files	TX_Container_Shipping_AL.png				Reason for ignoring: Text is Unreadable, Translation is unnecessary	
			pending			\Assets\Bus_Stop_F\Files	TX_Bus_Stop_F_AL.png					
			pending			\Assets\Frame_Garage\Files	TX_Frame_Garage_AL.png					
